,,,,Total,Hombre,Mujer,No especificado
22,Querétaro,2022,Noviembre,20,14,6,
22,Querétaro,2022,Diciembre,16,15,1,
22 001,Amealco de Bonfil,Total,Total,3,3,,
22 001,Amealco de Bonfil,Total,Septiembre,1,1,,
22 001,Amealco de Bonfil,Total,Diciembre,2,2,,
22 001,Amealco de Bonfil,2022,Total,3,3,,
22 001,Amealco de Bonfil,2022,Septiembre,1,1,,
22 001,Amealco de Bonfil,2022,Diciembre,2,2,,
22 002,Pinal de Amoles,Total,Total,1,1,,
22 002,Pinal de Amoles,Total,Junio,1,1,,
22 002,Pinal de Amoles,2022,Total,1,1,,
22 002,Pinal de Amoles,2022,Junio,1,1,,
22 004,Cadereyta de Montes,Total,Total,8,6,2,
22 004,Cadereyta de Montes,Total,Enero,2,2,,
22 004,Cadereyta de Montes,Total,Abril,1,,1,
22 004,Cadereyta de Montes,Total,Mayo,1,1,,
22 004,Cadereyta de Montes,Total,Septiembre,1,1,,
22 004,Cadereyta de Montes,Total,Octubre,2,2,,
22 004,Cadereyta de Montes,Total,Noviembre,1,,1,
22 004,Cadereyta de Montes,2021,Total,1,1,,
22 004,Cadereyta de Montes,2021,Octubre,1,1,,
22 004,Cadereyta de Montes,2022,Total,7,5,2,
22 004,Cadereyta de Montes,2022,Enero,2,2,,
22 004,Cadereyta de Montes,2022,Abril,1,,1,
22 004,Cadereyta de Montes,2022,Mayo,1,1,,
22 004,Cadereyta de Montes,2022,Septiembre,1,1,,
22 004,Cadereyta de Montes,2022,Octubre,1,1,,
22 004,Cadereyta de Montes,2022,Noviembre,1,,1,
22 005,Colón,Total,Total,5,3,2,
22 005,Colón,Total,Julio,3,2,1,
22 005,Colón,Total,Octubre,1,,1,
22 005,Colón,Total,Noviembre,1,1,,
22 005,Colón,2022,Total,5,3,2,
22 005,Colón,2022,Julio,3,2,1,
22 005,Colón,2022,Octubre,1,,1,
22 005,Colón,2022,Noviembre,1,1,,
22 006,Corregidora,Total,Total,3,2,1,
22 006,Corregidora,Total,Enero,2,1,1,
22 006,Corregidora,Total,Julio,1,1,,
22 006,Corregidora,2022,Total,3,2,1,
22 006,Corregidora,2022,Enero,2,1,1,
22 006,Corregidora,2022,Julio,1,1,,
22 007,Ezequiel Montes,Total,Total,3,3,,
22 007,Ezequiel Montes,Total,Enero,1,1,,
22 007,Ezequiel Montes,Total,Septiembre,1,1,,
22 007,Ezequiel Montes,Total,Diciembre,1,1,,
22 007,Ezequiel Montes,2020,Total,1,1,,
22 007,Ezequiel Montes,2020,Septiembre,1,1,,
22 007,Ezequiel Montes,2022,Total,2,2,,
22 007,Ezequiel Montes,2022,Enero,1,1,,
22 007,Ezequiel Montes,2022,Diciembre,1,1,,
22 008,Huimilpan,Total,Total,4,4,,
22 008,Huimilpan,Total,Febrero,1,1,,
22 008,Huimilpan,Total,Marzo,1,1,,
22 008,Huimilpan,Total,Junio,1,1,,
22 008,Huimilpan,Total,Octubre,1,1,,
22 008,Huimilpan,2022,Total,4,4,,
22 008,Huimilpan,2022,Febrero,1,1,,
22 008,Huimilpan,2022,Marzo,1,1,,
22 008,Huimilpan,2022,Junio,1,1,,
22 008,Huimilpan,2022,Octubre,1,1,,
22 009,Jalpan de Serra,Total,Total,2,2,,
22 009,Jalpan de Serra,Total,Marzo,1,1,,
22 009,Jalpan de Serra,Total,Agosto,1,1,,
22 009,Jalpan de Serra,2022,Total,2,2,,
22 009,Jalpan de Serra,2022,Marzo,1,1,,
22 009,Jalpan de Serra,2022,Agosto,1,1,,
22 010,Landa de Matamoros,Total,Total,1,,1,
22 010,Landa de Matamoros,Total,Mayo,1,,1,
22 010,Landa de Matamoros,2022,Total,1,,1,
22 010,Landa de Matamoros,2022,Mayo,1,,1,
22 011,El Marqués,Total,Total,30,25,5,
22 011,El Marqués,Total,Enero,1,1,,
22 011,El Marqués,Total,Febrero,2,2,,
22 011,El Marqués,Total,Abril,5,4,1,
22 011,El Marqués,Total,Mayo,3,3,,
22 011,El Marqués,Total,Junio,1,1,,
22 011,El Marqués,Total,Julio,2,1,1,
22 011,El Marqués,Total,Agosto,3,3,,
22 011,El Marqués,Total,Septiembre,1,1,,
22 011,El Marqués,Total,Octubre,3,2,1,
22 011,El Marqués,Total,Noviembre,6,4,2,
22 011,El Marqués,Total,Diciembre,3,3,,
22 011,El Marqués,2022,Total,30,25,5,
22 011,El Marqués,2022,Enero,1,1,,
22 011,El Marqués,2022,Febrero,2,2,,
22 011,El Marqués,2022,Abril,5,4,1,
22 011,El Marqués,2022,Mayo,3,3,,
22 011,El Marqués,2022,Junio,1,1,,
22 011,El Marqués,2022,Julio,2,1,1,
22 011,El Marqués,2022,Agosto,3,3,,
22 011,El Marqués,2022,Septiembre,1,1,,
22 011,El Marqués,2022,Octubre,3,2,1,
22 011,El Marqués,2022,Noviembre,6,4,2,
22 011,El Marqués,2022,Diciembre,3,3,,
22 012,Pedro Escobedo,Total,Total,2,2,,
22 012,Pedro Escobedo,Total,Febrero,1,1,,
22 012,Pedro Escobedo,Total,Octubre,1,1,,
22 012,Pedro Escobedo,2022,Total,2,2,,
22 012,Pedro Escobedo,2022,Febrero,1,1,,
22 012,Pedro Escobedo,2022,Octubre,1,1,,
22 013,Peñamiller,Total,Total,1,1,,
22 013,Peñamiller,Total,Agosto,1,1,,
22 013,Peñamiller,2022,Total,1,1,,
22 013,Peñamiller,2022,Agosto,1,1,,
22 014,Querétaro,Total,Total,99,87,12,
22 014,Querétaro,Total,Enero,10,9,1,
22 014,Querétaro,Total,Febrero,7,6,1,
22 014,Querétaro,Total,Marzo,5,4,1,
22 014,Querétaro,Total,Abril,5,5,,
22 014,Querétaro,Total,Mayo,11,11,,
22 014,Querétaro,Total,Junio,8,8,,
22 014,Querétaro,Total,Julio,9,8,1,
22 014,Querétaro,Total,Agosto,4,3,1,
22 014,Querétaro,Total,Septiembre,13,10,3,
22 014,Querétaro,Total,Octubre,9,8,1,
22 014,Querétaro,Total,Noviembre,10,8,2,
22 014,Querétaro,Total,Diciembre,8,7,1,
22 014,Querétaro,2021,Total,2,2,,
22 014,Querétaro,2021,Noviembre,2,2,,
22 014,Querétaro,2022,Total,97,85,12,
22 014,Querétaro,2022,Enero,10,9,1,
22 014,Querétaro,2022,Febrero,7,6,1,
22 014,Querétaro,2022,Marzo,5,4,1,
22 014,Querétaro,2022,Abril,5,5,,
22 014,Querétaro,2022,Mayo,11,11,,
22 014,Querétaro,2022,Junio,8,8,,
22 014,Querétaro,2022,Julio,9,8,1,
22 014,Querétaro,2022,Agosto,4,3,1,
22 014,Querétaro,2022,Septiembre,13,10,3,
22 014,Querétaro,2022,Octubre,9,8,1,
22 014,Querétaro,2022,Noviembre,8,6,2,
22 014,Querétaro,2022,Diciembre,8,7,1,
22 016,San Juan del Río,Total,Total,23,20,3,
22 016,San Juan del Río,Total,Enero,2,2,,
22 016,San Juan del Río,Total,Febrero,1,,1,
22 016,San Juan del Río,Total,Abril,3,3,,
22 016,San Juan del Río,Total,Mayo,1,1,,
22 016,San Juan del Río,Total,Junio,3,3,,
22 016,San Juan del Río,Total,Agosto,1,1,,
22 016,San Juan del Río,Total,Septiembre,5,4,1,
22 016,San Juan del Río,Total,Octubre,1,1,,
22 016,San Juan del Río,Total,Noviembre,4,3,1,
22 016,San Juan del Río,Total,Diciembre,2,2,,
22 016,San Juan del Río,2021,Total,2,2,,
22 016,San Juan del Río,2021,Junio,2,2,,
22 016,San Juan del Río,2022,Total,21,18,3,
22 016,San Juan del Río,2022,Enero,2,2,,
22 016,San Juan del Río,2022,Febrero,1,,1,
22 016,San Juan del Río,2022,Abril,3,3,,
22 016,San Juan del Río,2022,Mayo,1,1,,
22 016,San Juan del Río,2022,Junio,1,1,,
22 016,San Juan del Río,2022,Agosto,1,1,,
22 016,San Juan del Río,2022,Septiembre,5,4,1,
22 016,San Juan del Río,2022,Octubre,1,1,,
22 016,San Juan del Río,2022,Noviembre,4,3,1,
22 016,San Juan del Río,2022,Diciembre,2,2,,
22 017,Tequisquiapan,Total,Total,4,4,,
22 017,Tequisquiapan,Total,Febrero,1,1,,
22 017,Tequisquiapan,Total,Junio,1,1,,
22 017,Tequisquiapan,Total,Septiembre,1,1,,
22 017,Tequisquiapan,Total,Octubre,1,1,,
22 017,Tequisquiapan,2021,Total,1,1,,
22 017,Tequisquiapan,2021,Septiembre,1,1,,
22 017,Tequisquiapan,2022,Total,3,3,,
22 017,Tequisquiapan,2022,Febrero,1,1,,
22 017,Tequisquiapan,2022,Junio,1,1,,
22 017,Tequisquiapan,2022,Octubre,1,1,,
22 018,Tolimán,Total,Total,3,3,,
22 018,Tolimán,Total,Junio,1,1,,
22 018,Tolimán,Total,Agosto,1,1,,
22 018,Tolimán,Total,Octubre,1,1,,
22 018,Tolimán,2022,Total,3,3,,
22 018,Tolimán,2022,Junio,1,1,,
22 018,Tolimán,2022,Agosto,1,1,,
22 018,Tolimán,2022,Octubre,1,1,,
23,Quintana Roo,Total,Total,643,582,61,
23,Quintana Roo,Total,Enero,37,34,3,
23,Quintana Roo,Total,Febrero,43,38,5,
23,Quintana Roo,Total,Marzo,58,56,2,
23,Quintana Roo,Total,Abril,46,42,4,
23,Quintana Roo,Total,Mayo,65,61,4,
23,Quintana Roo,Total,Junio,48,40,8,
23,Quintana Roo,Total,Julio,52,43,9,
23,Quintana Roo,Total,Agosto,56,52,4,
23,Quintana Roo,Total,Septiembre,73,68,5,
23,Quintana Roo,Total,Octubre,57,51,6,
23,Quintana Roo,Total,Noviembre,56,51,5,
23,Quintana Roo,Total,Diciembre,52,46,6,
23,Quintana Roo,2019,Total,2,2,,
23,Quintana Roo,2019,Marzo,1,1,,
23,Quintana Roo,2019,Septiembre,1,1,,
23,Quintana Roo,2020,Total,3,2,1,
23,Quintana Roo,2020,Febrero,1,1,,
23,Quintana Roo,2020,Mayo,1,1,,
23,Quintana Roo,2020,Octubre,1,,1,
23,Quintana Roo,2021,Total,3,3,,
23,Quintana Roo,2021,Noviembre,2,2,,
23,Quintana Roo,2021,Diciembre,1,1,,
23,Quintana Roo,2022,Total,635,575,60,
23,Quintana Roo,2022,Enero,37,34,3,
23,Quintana Roo,2022,Febrero,42,37,5,
23,Quintana Roo,2022,Marzo,57,55,2,
23,Quintana Roo,2022,Abril,46,42,4,
23,Quintana Roo,2022,Mayo,64,60,4,
23,Quintana Roo,2022,Junio,48,40,8,
23,Quintana Roo,2022,Julio,52,43,9,
23,Quintana Roo,2022,Agosto,56,52,4,
23,Quintana Roo,2022,Septiembre,72,67,5,
23,Quintana Roo,2022,Octubre,56,51,5,
23,Quintana Roo,2022,Noviembre,54,49,5,
23,Quintana Roo,2022,Diciembre,51,45,6,
23 001,Cozumel,Total,Total,10,9,1,
23 001,Cozumel,Total,Junio,1,1,,
23 001,Cozumel,Total,Agosto,1,1,,
23 001,Cozumel,Total,Septiembre,2,2,,
23 001,Cozumel,Total,Octubre,1,,1,
23 001,Cozumel,Total,Noviembre,1,1,,
23 001,Cozumel,Total,Diciembre,4,4,,
23 001,Cozumel,2020,Total,1,,1,
23 001,Cozumel,2020,Octubre,1,,1,
23 001,Cozumel,2022,Total,9,9,,
23 001,Cozumel,2022,Junio,1,1,,
23 001,Cozumel,2022,Agosto,1,1,,
23 001,Cozumel,2022,Septiembre,2,2,,
23 001,Cozumel,2022,Noviembre,1,1,,
23 001,Cozumel,2022,Diciembre,4,4,,
23 002,Felipe Carrillo Puerto,Total,Total,5,5,,
23 002,Felipe Carrillo Puerto,Total,Enero,2,2,,
23 002,Felipe Carrillo Puerto,Total,Marzo,1,1,,
23 002,Felipe Carrillo Puerto,Total,Noviembre,2,2,,
23 002,Felipe Carrillo Puerto,2022,Total,5,5,,
23 002,Felipe Carrillo Puerto,2022,Enero,2,2,,
23 002,Felipe Carrillo Puerto,2022,Marzo,1,1,,
23 002,Felipe Carrillo Puerto,2022,Noviembre,2,2,,
23 003,Isla Mujeres,Total,Total,17,13,4,
23 003,Isla Mujeres,Total,Abril,3,2,1,
23 003,Isla Mujeres,Total,Mayo,2,2,,
23 003,Isla Mujeres,Total,Junio,2,1,1,
23 003,Isla Mujeres,Total,Julio,2,2,,
23 003,Isla Mujeres,Total,Agosto,1,,1,
23 003,Isla Mujeres,Total,Septiembre,2,1,1,
23 003,Isla Mujeres,Total,Octubre,1,1,,
23 003,Isla Mujeres,Total,Noviembre,2,2,,
23 003,Isla Mujeres,Total,Diciembre,2,2,,
23 003,Isla Mujeres,2022,Total,17,13,4,
23 003,Isla Mujeres,2022,Abril,3,2,1,
23 003,Isla Mujeres,2022,Mayo,2,2,,
23 003,Isla Mujeres,2022,Junio,2,1,1,
23 003,Isla Mujeres,2022,Julio,2,2,,
23 003,Isla Mujeres,2022,Agosto,1,,1,
23 003,Isla Mujeres,2022,Septiembre,2,1,1,
23 003,Isla Mujeres,2022,Octubre,1,1,,
23 003,Isla Mujeres,2022,Noviembre,2,2,,
23 003,Isla Mujeres,2022,Diciembre,2,2,,
23 004,Othón P. Blanco,Total,Total,25,20,5,
23 004,Othón P. Blanco,Total,Enero,1,1,,
23 004,Othón P. Blanco,Total,Febrero,2,1,1,
23 004,Othón P. Blanco,Total,Marzo,1,1,,
23 004,Othón P. Blanco,Total,Mayo,2,2,,
23 004,Othón P. Blanco,Total,Junio,2,2,,
23 004,Othón P. Blanco,Total,Julio,2,1,1,
23 004,Othón P. Blanco,Total,Agosto,2,2,,
23 004,Othón P. Blanco,Total,Septiembre,2,1,1,
23 004,Othón P. Blanco,Total,Octubre,5,4,1,
23 004,Othón P. Blanco,Total,Noviembre,3,3,,
23 004,Othón P. Blanco,Total,Diciembre,3,2,1,
23 004,Othón P. Blanco,2022,Total,25,20,5,
23 004,Othón P. Blanco,2022,Enero,1,1,,
23 004,Othón P. Blanco,2022,Febrero,2,1,1,
23 004,Othón P. Blanco,2022,Marzo,1,1,,
23 004,Othón P. Blanco,2022,Mayo,2,2,,
23 004,Othón P. Blanco,2022,Junio,2,2,,
23 004,Othón P. Blanco,2022,Julio,2,1,1,
23 004,Othón P. Blanco,2022,Agosto,2,2,,
23 004,Othón P. Blanco,2022,Septiembre,2,1,1,
23 004,Othón P. Blanco,2022,Octubre,5,4,1,
23 004,Othón P. Blanco,2022,Noviembre,3,3,,
23 004,Othón P. Blanco,2022,Diciembre,3,2,1,
23 005,Benito Juárez,Total,Total,380,350,30,
23 005,Benito Juárez,Total,Enero,20,19,1,
23 005,Benito Juárez,Total,Febrero,22,20,2,
23 005,Benito Juárez,Total,Marzo,36,35,1,
23 005,Benito Juárez,Total,Abril,32,29,3,
23 005,Benito Juárez,Total,Mayo,45,43,2,
23 005,Benito Juárez,Total,Junio,30,26,4,
23 005,Benito Juárez,Total,Julio,31,28,3,
23 005,Benito Juárez,Total,Agosto,36,33,3,
23 005,Benito Juárez,Total,Septiembre,43,41,2,
23 005,Benito Juárez,Total,Octubre,19,18,1,
23 005,Benito Juárez,Total,Noviembre,35,31,4,
23 005,Benito Juárez,Total,Diciembre,31,27,4,
23 005,Benito Juárez,2020,Total,2,2,,
23 005,Benito Juárez,2020,Febrero,1,1,,
23 005,Benito Juárez,2020,Mayo,1,1,,
23 005,Benito Juárez,2021,Total,2,2,,
23 005,Benito Juárez,2021,Noviembre,2,2,,
23 005,Benito Juárez,2022,Total,376,346,30,
23 005,Benito Juárez,2022,Enero,20,19,1,
23 005,Benito Juárez,2022,Febrero,21,19,2,
23 005,Benito Juárez,2022,Marzo,36,35,1,
23 005,Benito Juárez,2022,Abril,32,29,3,
23 005,Benito Juárez,2022,Mayo,44,42,2,
23 005,Benito Juárez,2022,Junio,30,26,4,
23 005,Benito Juárez,2022,Julio,31,28,3,
23 005,Benito Juárez,2022,Agosto,36,33,3,
23 005,Benito Juárez,2022,Septiembre,43,41,2,
23 005,Benito Juárez,2022,Octubre,19,18,1,
23 005,Benito Juárez,2022,Noviembre,33,29,4,
23 005,Benito Juárez,2022,Diciembre,31,27,4,
23 006,José María Morelos,Total,Total,4,4,,
23 006,José María Morelos,Total,Marzo,1,1,,
23 006,José María Morelos,Total,Mayo,1,1,,
23 006,José María Morelos,Total,Septiembre,1,1,,
23 006,José María Morelos,Total,Diciembre,1,1,,
23 006,José María Morelos,2019,Total,1,1,,
23 006,José María Morelos,2019,Marzo,1,1,,
23 006,José María Morelos,2022,Total,3,3,,
23 006,José María Morelos,2022,Mayo,1,1,,
23 006,José María Morelos,2022,Septiembre,1,1,,
23 006,José María Morelos,2022,Diciembre,1,1,,
23 007,Lázaro Cárdenas,Total,Total,6,5,1,
23 007,Lázaro Cárdenas,Total,Febrero,1,,1,
23 007,Lázaro Cárdenas,Total,Abril,1,1,,
23 007,Lázaro Cárdenas,Total,Junio,1,1,,
23 007,Lázaro Cárdenas,Total,Julio,2,2,,
23 007,Lázaro Cárdenas,Total,Septiembre,1,1,,
23 007,Lázaro Cárdenas,2019,Total,1,1,,
23 007,Lázaro Cárdenas,2019,Septiembre,1,1,,
23 007,Lázaro Cárdenas,2022,Total,5,4,1,
23 007,Lázaro Cárdenas,2022,Febrero,1,,1,
23 007,Lázaro Cárdenas,2022,Abril,1,1,,
23 007,Lázaro Cárdenas,2022,Junio,1,1,,
23 007,Lázaro Cárdenas,2022,Julio,2,2,,
23 008,Solidaridad,Total,Total,92,82,10,
23 008,Solidaridad,Total,Enero,11,10,1,
23 008,Solidaridad,Total,Febrero,6,6,,
23 008,Solidaridad,Total,Marzo,12,12,,
23 008,Solidaridad,Total,Abril,4,4,,
23 008,Solidaridad,Total,Mayo,5,4,1,
23 008,Solidaridad,Total,Junio,11,8,3,
23 008,Solidaridad,Total,Julio,7,4,3,
23 008,Solidaridad,Total,Agosto,11,11,,
23 008,Solidaridad,Total,Septiembre,7,7,,
23 008,Solidaridad,Total,Octubre,5,4,1,
23 008,Solidaridad,Total,Noviembre,7,7,,
23 008,Solidaridad,Total,Diciembre,6,5,1,
23 008,Solidaridad,2021,Total,1,1,,
23 008,Solidaridad,2021,Diciembre,1,1,,
23 008,Solidaridad,2022,Total,91,81,10,
23 008,Solidaridad,2022,Enero,11,10,1,
23 008,Solidaridad,2022,Febrero,6,6,,
23 008,Solidaridad,2022,Marzo,12,12,,
23 008,Solidaridad,2022,Abril,4,4,,
23 008,Solidaridad,2022,Mayo,5,4,1,
23 008,Solidaridad,2022,Junio,11,8,3,
23 008,Solidaridad,2022,Julio,7,4,3,
23 008,Solidaridad,2022,Agosto,11,11,,
23 008,Solidaridad,2022,Septiembre,7,7,,
23 008,Solidaridad,2022,Octubre,5,4,1,
23 008,Solidaridad,2022,Noviembre,7,7,,
23 008,Solidaridad,2022,Diciembre,5,4,1,
23 009,Tulum,Total,Total,42,37,5,
23 009,Tulum,Total,Enero,2,2,,
23 009,Tulum,Total,Febrero,6,5,1,
23 009,Tulum,Total,Marzo,3,3,,
23 009,Tulum,Total,Abril,4,4,,
23 009,Tulum,Total,Mayo,5,4,1,
23 009,Tulum,Total,Julio,5,4,1,
23 009,Tulum,Total,Agosto,2,2,,
23 009,Tulum,Total,Septiembre,7,6,1,
23 009,Tulum,Total,Octubre,3,3,,
23 009,Tulum,Total,Noviembre,3,2,1,
23 009,Tulum,Total,Diciembre,2,2,,
23 009,Tulum,2022,Total,42,37,5,
23 009,Tulum,2022,Enero,2,2,,
23 009,Tulum,2022,Febrero,6,5,1,
23 009,Tulum,2022,Marzo,3,3,,
23 009,Tulum,2022,Abril,4,4,,
23 009,Tulum,2022,Mayo,5,4,1,
23 009,Tulum,2022,Julio,5,4,1,
23 009,Tulum,2022,Agosto,2,2,,
23 009,Tulum,2022,Septiembre,7,6,1,
23 009,Tulum,2022,Octubre,3,3,,
23 009,Tulum,2022,Noviembre,3,2,1,
23 009,Tulum,2022,Diciembre,2,2,,
23 010,Bacalar,Total,Total,13,11,2,
23 010,Bacalar,Total,Enero,1,,1,
23 010,Bacalar,Total,Febrero,2,2,,
23 010,Bacalar,Total,Marzo,1,,1,
23 010,Bacalar,Total,Mayo,3,3,,
23 010,Bacalar,Total,Junio,1,1,,
23 010,Bacalar,Total,Agosto,1,1,,
23 010,Bacalar,Total,Octubre,1,1,,
23 010,Bacalar,Total,Noviembre,1,1,,
23 010,Bacalar,Total,Diciembre,2,2,,
23 010,Bacalar,2022,Total,13,11,2,
23 010,Bacalar,2022,Enero,1,,1,
23 010,Bacalar,2022,Febrero,2,2,,
23 010,Bacalar,2022,Marzo,1,,1,
23 010,Bacalar,2022,Mayo,3,3,,
23 010,Bacalar,2022,Junio,1,1,,
23 010,Bacalar,2022,Agosto,1,1,,
23 010,Bacalar,2022,Octubre,1,1,,
23 010,Bacalar,2022,Noviembre,1,1,,
23 010,Bacalar,2022,Diciembre,2,2,,
23 011,Puerto Morelos,Total,Total,17,16,1,
23 011,Puerto Morelos,Total,Febrero,3,3,,
23 011,Puerto Morelos,Total,Abril,2,2,,
23 011,Puerto Morelos,Total,Mayo,2,2,,
23 011,Puerto Morelos,Total,Julio,3,2,1,
23 011,Puerto Morelos,Total,Agosto,2,2,,
23 011,Puerto Morelos,Total,Septiembre,3,3,,
23 011,Puerto Morelos,Total,Noviembre,1,1,,
23 011,Puerto Morelos,Total,Diciembre,1,1,,
23 011,Puerto Morelos,2022,Total,17,16,1,
23 011,Puerto Morelos,2022,Febrero,3,3,,
23 011,Puerto Morelos,2022,Abril,2,2,,
23 011,Puerto Morelos,2022,Mayo,2,2,,
23 011,Puerto Morelos,2022,Julio,3,2,1,
23 011,Puerto Morelos,2022,Agosto,2,2,,
23 011,Puerto Morelos,2022,Septiembre,3,3,,
23 011,Puerto Morelos,2022,Noviembre,1,1,,
23 011,Puerto Morelos,2022,Diciembre,1,1,,
23 999,No especificado,Total,Total,32,30,2,
23 999,No especificado,Total,Febrero,1,1,,
23 999,No especificado,Total,Marzo,3,3,,
23 999,No especificado,Total,Septiembre,5,5,,
23 999,No especificado,Total,Octubre,22,20,2,
23 999,No especificado,Total,Noviembre,1,1,,
23 999,No especificado,2022,Total,32,30,2,
23 999,No especificado,2022,Febrero,1,1,,
23 999,No especificado,2022,Marzo,3,3,,
23 999,No especificado,2022,Septiembre,5,5,,
23 999,No especificado,2022,Octubre,22,20,2,
23 999,No especificado,2022,Noviembre,1,1,,
24,San Luis Potosí,Total,Total,751,686,63,2
24,San Luis Potosí,Total,Enero,55,54,,1
24,San Luis Potosí,Total,Febrero,66,65,1,
24,San Luis Potosí,Total,Marzo,64,54,10,
24,San Luis Potosí,Total,Abril,64,57,6,1
24,San Luis Potosí,Total,Mayo,77,69,8,
24,San Luis Potosí,Total,Junio,81,74,7,
24,San Luis Potosí,Total,Julio,49,44,5,
24,San Luis Potosí,Total,Agosto,70,60,10,
24,San Luis Potosí,Total,Septiembre,60,55,5,
24,San Luis Potosí,Total,Octubre,50,50,,
24,San Luis Potosí,Total,Noviembre,61,53,8,
24,San Luis Potosí,Total,Diciembre,52,49,3,
24,San Luis Potosí,Total,No especificado,2,2,,
24,San Luis Potosí,2018,Total,1,1,,
24,San Luis Potosí,2018,Septiembre,1,1,,
24,San Luis Potosí,2021,Total,12,10,2,
24,San Luis Potosí,2021,Enero,1,1,,
24,San Luis Potosí,2021,Abril,1,,1,
24,San Luis Potosí,2021,Agosto,2,2,,
24,San Luis Potosí,2021,Octubre,3,3,,
24,San Luis Potosí,2021,Noviembre,1,,1,
24,San Luis Potosí,2021,Diciembre,4,4,,
24,San Luis Potosí,2022,Total,737,674,61,2
24,San Luis Potosí,2022,Enero,54,53,,1
24,San Luis Potosí,2022,Febrero,66,65,1,
24,San Luis Potosí,2022,Marzo,64,54,10,
24,San Luis Potosí,2022,Abril,63,57,5,1
24,San Luis Potosí,2022,Mayo,77,69,8,
24,San Luis Potosí,2022,Junio,81,74,7,
24,San Luis Potosí,2022,Julio,49,44,5,
24,San Luis Potosí,2022,Agosto,68,58,10,
24,San Luis Potosí,2022,Septiembre,59,54,5,
24,San Luis Potosí,2022,Octubre,47,47,,
24,San Luis Potosí,2022,Noviembre,60,53,7,
24,San Luis Potosí,2022,Diciembre,48,45,3,
24,San Luis Potosí,2022,No especificado,1,1,,
24,San Luis Potosí,No especificado,Total,1,1,,
24,San Luis Potosí,No especificado,No especificado,1,1,,
24 001,Ahualulco,Total,Total,6,3,3,
24 001,Ahualulco,Total,Marzo,1,1,,
24 001,Ahualulco,Total,Abril,5,2,3,
24 001,Ahualulco,2022,Total,6,3,3,
24 001,Ahualulco,2022,Marzo,1,1,,
24 001,Ahualulco,2022,Abril,5,2,3,
24 003,Aquismón,Total,Total,9,9,,
24 003,Aquismón,Total,Febrero,1,1,,
24 003,Aquismón,Total,Marzo,1,1,,
24 003,Aquismón,Total,Mayo,1,1,,
24 003,Aquismón,Total,Junio,6,6,,
24 003,Aquismón,2022,Total,9,9,,
24 003,Aquismón,2022,Febrero,1,1,,
24 003,Aquismón,2022,Marzo,1,1,,
24 003,Aquismón,2022,Mayo,1,1,,
24 003,Aquismón,2022,Junio,6,6,,
24 004,Armadillo de los Infante,Total,Total,2,2,,
24 004,Armadillo de los Infante,Total,Julio,1,1,,
24 004,Armadillo de los Infante,Total,Agosto,1,1,,
24 004,Armadillo de los Infante,2022,Total,2,2,,
24 004,Armadillo de los Infante,2022,Julio,1,1,,
24 004,Armadillo de los Infante,2022,Agosto,1,1,,
24 005,Cárdenas,Total,Total,13,13,,
24 005,Cárdenas,Total,Septiembre,4,4,,
24 005,Cárdenas,Total,Octubre,5,5,,
24 005,Cárdenas,Total,Noviembre,4,4,,
24 005,Cárdenas,2022,Total,13,13,,
24 005,Cárdenas,2022,Septiembre,4,4,,
24 005,Cárdenas,2022,Octubre,5,5,,
24 005,Cárdenas,2022,Noviembre,4,4,,
24 006,Catorce,Total,Total,3,3,,
24 006,Catorce,Total,Septiembre,2,2,,
24 006,Catorce,Total,No especificado,1,1,,
24 006,Catorce,2022,Total,2,2,,
24 006,Catorce,2022,Septiembre,2,2,,
24 006,Catorce,No especificado,Total,1,1,,
24 006,Catorce,No especificado,No especificado,1,1,,
24 008,Cerritos,Total,Total,19,16,3,
24 008,Cerritos,Total,Enero,1,1,,
24 008,Cerritos,Total,Febrero,4,4,,
24 008,Cerritos,Total,Marzo,3,2,1,
24 008,Cerritos,Total,Mayo,1,1,,
24 008,Cerritos,Total,Junio,4,2,2,
24 008,Cerritos,Total,Agosto,3,3,,
24 008,Cerritos,Total,Septiembre,1,1,,
24 008,Cerritos,Total,Noviembre,1,1,,
24 008,Cerritos,Total,Diciembre,1,1,,
24 008,Cerritos,2021,Total,1,1,,
24 008,Cerritos,2021,Agosto,1,1,,
24 008,Cerritos,2022,Total,18,15,3,
24 008,Cerritos,2022,Enero,1,1,,
24 008,Cerritos,2022,Febrero,4,4,,
24 008,Cerritos,2022,Marzo,3,2,1,
24 008,Cerritos,2022,Mayo,1,1,,
24 008,Cerritos,2022,Junio,4,2,2,
24 008,Cerritos,2022,Agosto,2,2,,
24 008,Cerritos,2022,Septiembre,1,1,,
24 008,Cerritos,2022,Noviembre,1,1,,
24 008,Cerritos,2022,Diciembre,1,1,,
24 009,Cerro de San Pedro,Total,Total,3,3,,
24 009,Cerro de San Pedro,Total,Agosto,1,1,,
24 009,Cerro de San Pedro,Total,Octubre,1,1,,
24 009,Cerro de San Pedro,Total,Diciembre,1,1,,
24 009,Cerro de San Pedro,2022,Total,3,3,,
24 009,Cerro de San Pedro,2022,Agosto,1,1,,
24 009,Cerro de San Pedro,2022,Octubre,1,1,,
24 009,Cerro de San Pedro,2022,Diciembre,1,1,,
24 010,Ciudad del Maíz,Total,Total,5,5,,
24 010,Ciudad del Maíz,Total,Marzo,1,1,,
24 010,Ciudad del Maíz,Total,Junio,1,1,,
